quanta_author,quanta_pub_date,quanta_title,arxiv_id,title,authors,original_submission_date,most_recent_update_date,primary_subject,secondary_subject,primary-MSC,secondary_MSC
['Zack Savitsky'],2023-03-13,Shadows in the Big Bang Afterglow Reveal Invisible Cosmic Structures,2301.10764,Extragalactic CO emission lines in the CMB experiments: a forgotten signal and a foreground,"['Coulton, William R.', 'Lagache, Guilaine', 'Gkogkou, Athanasia', 'Maniyar, Abhishek S.', 'Pullen, Anthony R.', 'Li, Zack']",2023/01/25,2023/01/25,['Cosmology and Nongalactic Astrophysics (astro-ph.CO)'],['Astrophysics of Galaxies (astro-ph.GA)'],[],[]
['Ben Brubaker'],2023-01-25,The Computer Scientist Who Finds Life Lessons in Board Games,2106.02114,Winning the War by (Strategically) Losing Battles: Settling the Complexity of Grundy-Values in Undirected Geography,"['Teng, Shanghua', 'Burke, Kyle', 'Ferland, Matthew']",2021/06/03,2021/06/03,['Computational Complexity (cs.CC)'],"['Artificial Intelligence (cs.AI)', 'Discrete Mathematics (cs.DM)', 'Data Structures and Algorithms (cs.DS)', 'Combinatorics (math.CO)']",91A46,[]
['Steve Nadis'],2023-01-24,Mathematicians Find an Infinity of Possible Black Hole Shapes,2212.06762,Black Lenses in Kaluza-Klein Matter,"['Rainone, Jordan F.', 'Khuri, Marcus A.']",2022/12/13,2022/12/13,['General Relativity and Quantum Cosmology (gr-qc)'],"['High Energy Physics - Theory (hep-th)', 'Differential Geometry (math.DG)']",[],[]
['Steve Nadis'],2023-01-24,Mathematicians Find an Infinity of Possible Black Hole Shapes,2212.06762,Black Lenses in Kaluza-Klein Matter,"['Rainone, Jordan F.', 'Khuri, Marcus A.']",2022/12/13,2022/12/13,['General Relativity and Quantum Cosmology (gr-qc)'],"['High Energy Physics - Theory (hep-th)', 'Differential Geometry (math.DG)']",[],[]
['Steve Nadis'],2023-01-24,Mathematicians Find an Infinity of Possible Black Hole Shapes,2012.00381,On the nonexistence of a vacuum black lens,"['Lucietti, James', 'Tomlinson, Fred']",2020/12/01,2021/01/28,['General Relativity and Quantum Cosmology (gr-qc)'],['High Energy Physics - Theory (hep-th)'],[],[]
['Rachel Crowell'],2023-03-01,An Applied Mathematician Strengthens AI With Pure Math,2006.01510,Recht-R\'e Noncommutative Arithmetic-Geometric Mean Conjecture is False,"['Lai, Zehua', 'Lim, Lek-Heng']",2020/06/02,2020/06/02,['Optimization and Control (math.OC)'],"['Machine Learning (cs.LG)', 'Algebraic Geometry (math.AG)', 'Machine Learning (stat.ML)']","15A45, 47A13, 90C22, 13J30, 15B48, 68W20",[]
['Max G. Levy'],2023-02-01,Machines Learn Better if We Teach Them the Basics,2210.00066,Improving Policy Learning via Language Dynamics Distillation,"['Zhong, Victor', 'Grefenstette, Edward', 'Zettlemoyer, Luke', 'Rocktäschel, Tim', 'Mu, Jesse']",2022/09/30,2022/09/30,['Machine Learning (cs.LG)'],"['Artificial Intelligence (cs.AI)', 'Computation and Language (cs.CL)']",[],[]
['Max G. Levy'],2023-02-01,Machines Learn Better if We Teach Them the Basics,2110.10661,SILG: The Multi-environment Symbolic Interactive Language Grounding Benchmark,"['Zhong, Victor', 'Hanjie, Austin W.', 'Zettlemoyer, Luke', 'Wang, Sida I.', 'Narasimhan, Karthik']",2021/10/20,2022/01/24,['Computation and Language (cs.CL)'],"['Artificial Intelligence (cs.AI)', 'Machine Learning (cs.LG)']",[],[]
['Max G. Levy'],2023-02-01,Machines Learn Better if We Teach Them the Basics,2206.08853,MineDojo: Building Open-Ended Embodied Agents with Internet-Scale Knowledge,"['Wang, Guanzhi', 'Jiang, Yunfan', 'Tang, Andrew', 'Zhu, Haoyi', 'Zhu, Yuke', 'Anandkumar, Anima', 'Huang, De-An', 'Yang, Yuncong', 'Fan, Linxi', 'Mandlekar, Ajay']",2022/06/17,2022/11/22,['Machine Learning (cs.LG)'],"['Artificial Intelligence (cs.AI)', 'Computation and Language (cs.CL)', 'Computer Vision and Pattern Recognition (cs.CV)']",[],[]
['Max G. Levy'],2023-02-01,Machines Learn Better if We Teach Them the Basics,2206.13074,Leveraging Language for Accelerated Learning of Tool Manipulation,"['Ren, Allen Z.', 'Govil, Bharat', 'Yang, Tsung-Yen', 'Majumdar, Anirudha', 'Narasimhan, Karthik']",2022/06/27,2022/06/27,['Robotics (cs.RO)'],"['Artificial Intelligence (cs.AI)', 'Machine Learning (cs.LG)']",[],[]
