,location,latitude,longitude,driving duration,driving distance,geoDistance
61,Harvard University,42.36790855,-71.12678237443698,7089.9,147479.6,15213.314277533374 km
62,Swarthmore College,39.903550100000004,-75.35409205575698,20458.2,449068.4,15101.363515816256 km
63,University of Toronto,39.981188,-75.15628280757346,18927.3,425887.2,15102.8486567147 km
64,West Shore Community College,44.00985325,-86.33008269651182,53769.2,1395868.2,15873.519617549937 km
65,Université de Montréal,33.79320735,-84.23284305867932,66681.7,1669462.4,14749.268394875457 km
66,Dartmouth College,43.70526735,-72.29052293092106,7126.3,170599.0,15387.65593258199 km
67,Wheaton College,41.86963745,-88.09755524953694,60058.3,1512911.4,15707.77101716544 km
68,University of Utah,40.762813699999995,-111.83687191368261,133968.0,3688762.8,16201.33123103475 km
69,Bates College,44.1060827,-70.20232209196428,15089.5,334126.1,15358.569878423521 km
70,University of Massachusetts Amherst,42.3869382,-72.52991477067445,54.6,485.8,15261.87653007236 km
71,Eugene Lang CollegeThe New School,,,,,
72,Villanova University,40.0367774,-75.34202332002798,19632.5,438741.8,15114.632091453055 km
73,Princeton University,40.33867515,-74.65836549131683,16203.4,355274.1,15123.14910227799 km
74,Rutgers University,40.74068705,-74.17488897617616,13592.3,289880.7,15148.389950105699 km
75,Montclair State University,40.864687849999996,-74.19692131823484,13535.5,292009.9,15161.794067750458 km
76,Institute for Advanced Study,40.3322547,-74.66578773959287,16449.3,355913.1,15122.73536162032 km
77,University of Colorado Boulder,40.01779535,-105.24724210308266,114397.6,3083712.6,15979.722830227216 km
78,Dartmouth College,43.70526735,-72.29052293092106,7126.3,170599.0,15387.65593258199 km
79,University of Michigan,42.2942142,-83.71003893509601,43948.0,1090441.0,15615.508372878772 km
80,Purdue University,40.43002715,-86.92641792444294,56924.2,1431556.0,15523.114762946132 km
81,Tufts University,42.40649125,-71.11800725402092,7409.3,150938.7,15216.942325642165 km
82,City University of New York,40.73670285,-73.81879560430787,13328.1,258561.1,15136.250835525534 km
83,,,,,,
84,The Pennsylvania State University,40.800484350000005,-77.86566145944843,26023.0,649979.7,15275.197257968746 km
85,Tufts University,42.40649125,-71.11800725402092,7409.3,150938.7,15216.942325642165 km
86,Brown University,41.8186395,-71.4088008716793,6893.1,144288.0,15166.832609151292 km
87,Williams College,42.7130236,-73.2030082,6063.7,91186.2,15317.334209844104 km
88,University of Illinois at Chicago,41.868922299999994,-87.64858476010119,57376.5,1469414.8,15694.016494387857 km
89,University of Connecticut,41.82175755,-72.24277535505323,5350.1,79111.9,15194.84370659535 km
90,Univ. of Connecticut,41.82175755,-72.24277535505323,5350.1,79111.9,15194.84370659535 km
91,Dartmouth College,43.70526735,-72.29052293092106,7126.3,170599.0,15387.65593258199 km
92,Dartmouth,41.6332267,-70.9879928,9028.6,189090.6,15133.962902538035 km
93,San Francisco State University,37.7245167,-122.4800002445856,175391.1,4887365.9,16038.215179168279 km
94,Brown University,41.8186395,-71.4088008716793,6893.1,144288.0,15166.832609151292 km
95,Cornell University,42.450550699999994,-76.47835129554275,19063.5,422797.3,15398.598288705527 km
96,Stanford University,37.431313849999995,-122.16936535498309,176964.3,4923342.2,16002.261712009296 km
97,University of Oregon,44.044551549999994,-123.07173597767621,178624.0,4897100.5,16739.944632802566 km
98,Washington University in St. Louis,38.64724015,-90.3084017323959,70608.0,1820931.6,15438.769267056414 km
99,Fairfield University,41.15967565,-73.25740310197213,8497.7,174414.6,15160.934371438228 km
100,Mount Holyoke College,42.25532845,-72.56966884397315,1291.8,18157.9,15249.812049750355 km
101,Boston University,42.350189400000005,-71.10070118497421,7213.1,149812.2,15210.645746475566 km
102,Clarkson University,44.65958875,-75.00623974830918,21848.3,479251.4,15574.229174539012 km
103,University of Massachusetts,42.36790855,-71.12678237443698,7089.9,147479.6,15213.314277533374 km
104,Dartmouth College,43.70526735,-72.29052293092106,7126.3,170599.0,15387.65593258199 km
105,Dept of MathematicsPennsylvania State University,,,,,
106,Dartmouth College,43.70526735,-72.29052293092106,7126.3,170599.0,15387.65593258199 km
107,University of Pennsylvania,39.9493382,-75.18964402998125,18973.2,426398.0,15100.675353085806 km
